title,plot,Οικογενειακή,Δραμεντί,Περιπέτεια,Κωμωδία,Δράσης,Αισθηματική,Δραματική,Θρίλερ,Δραματικό Θρίλερ,Φαντασίας,Επιστημονικής Φαντασίας,Εποχής
'Επίθεση στο Σταθμό 13',"Αυτή η παραμονή Πρωτοχρονιάς θα είναι διαφορετική από τις άλλες για τον αξιωματικό αστυνομίας Τζέικ Ρόνικ και τον φυλακισμένο αρχιμαφιόζο Μάριον Μπίσοπ. Ντιτρόιτ, 31 Δεκεμβρίου. Ο Σταθμός 13, ένας από τους παλαιότερους αστυνομικούς σταθμούς στην περιφέρεια της πόλης, πρόκειται σύντομα να κλείσει. Και ενώ όσοι έχουν μείνει στον σταθμό περιμένουν να υποδεχτούν το νέο έτος, δύο μασκοφόροι εισβάλλουν αλλάζοντας τα δεδομένα. Φυλακισμένοι και αστυνομικοί αναμειγνύονται σε μια βίαιη σύγκρουση, και εκτός από σφαίρες ανταλλάσουν και ρόλους.",0,0,0,0,1,0,0,1,0,0,0,0
'Ali',"Ανάμεσα στη δεκαετία 1964-1974, το άστρο του έγχρωμου πυγμάχου Κάσιους Κλέι, ο οποίος ασπαζόμενος τον Ισλαμισμό μετονομάστηκε σε Μοχάμεντ Άλι, άστραψε τόσο μέσα όσο κι έξω από τα ρινγκ. Αρνούμενος να υπηρετήσει στο Βιετνάμ και πηγαίνοντας έναν αγώνα τίτλου στην καρδιά της Αφρικής, λειτούργησε σαν σύμβολο για τον λαό. Παράλληλα ήταν στενός φίλος του Μάλκολμ Χ και η ταραγμένη του ερωτική ζωή χαρακτήρισε τις προσωπικές του σχέσεις.",0,0,0,0,0,0,1,0,0,0,0,1
'Batman Begins',"Ο Μπρους Γουέιν, σε μικρή ηλικία, βλέπει τη δολοφονία των γονιών του και ορκίζεται να πάρει εκδίκηση. Μεγαλώνοντας, ταξιδεύει σε διάφορες χώρες με στόχο να νικήσει τους εσωτερικούς του δαίμονες και να εκπαιδευτεί στην αποκρυπτογράφηση εγκληματιών. Με τη βοήθεια του πιστού του υπηρέτη Άλφρεντ, του έντιμου αστυνόμου Τζιμ Γκόρντον και του συμμάχου του, Λούσιους Φοξ, ο Γουέιν επιστρέφει στην Γκόθαμ Σίτι και υιοθετεί την alter-ego μορφή του, τον Μπάτμαν. Ο μασκοφόρος ιππότης θα χρησιμοποιήσει πλέον κάθε μορφή πνευματικής και σωματικής δύναμης, αλλά και τη βοήθεια εξελιγμένων οπλικών συστημάτων προκειμένου να καταπολεμήσει τις μοχθηρές δυνάμεις που απειλούν την πόλη.",0,0,1,0,1,0,0,1,0,0,1,0
"'Τσίτι-Τσίτι, Μπανγκ-Μπανγκ'","Ήταν ένα παλιό σαραβαλάκι. Ποιος θα το φανταζόταν! Ένας παράδοξος επιστήμονας, ο Καράκτακους Ποτς, κατασκευάζει με αυτό ένα καταπληκτικό ιπτάμενο αυτοκίνητο που μπορεί να οδηγείται από μόνο του. Όταν παίρνει την οικογένεια του για ένα ταξίδι στη Βουλγκάρια, ο βαρόνος Μπόμπαρστ απαγάγει το αυτοκίνητο αλλά εκτός από αυτό έχει απαγορεύσει και την ύπαρξη όλων των παιδιών και των παιχνιδιών της χώρας. Τώρα είναι στα χέρια του Καράκτακους και της παρέας του να προσπαθήσουν να σώσουν τα παιδιά της Βουλγκάρια από τα καταχθόνια σχέδια του βαρόνου.",1,0,1,1,0,0,0,0,0,1,0,1
'Ξενοδοχείο για Σκύλους',"Η Άντι και ο αδελφός της, Μπρους, βρίσκονται ξαφνικά σε μια ανάδοχη οικογένεια που απαγορεύει αυστηρά την ύπαρξη κατοικίδιων ζώων στο σπίτι. Όταν τα δύο αδέλφια συνειδητοποιούν ότι στο νέο τους σπίτι δεν υπάρχει χώρος για τον αγαπημένο τους σκύλο, σκέφτονται ότι ο μόνος τρόπος να τον κρατήσουν κοντά τους είναι να βρουν ένα μέρος για να τον κρύψουν. Ανακαλύπτοντας ένα εγκαταλελειμμένο ξενοδοχείο όμως, αποφασίζουν με τη βοήθεια των φίλων τους να το μετατρέψουν σε καταφύγιο όχι μόνο για τον δικό τους σκύλο, αλλά για όλους τους αδέσποτους σκύλους της γειτονιάς.",1,0,0,1,0,0,0,0,0,0,0,0
'Εβίτα',"Η Εβίτα Ντουάρτε ήταν μια άσημη ηθοποιός, η οποία μέσα από την αδάμαστη θέληση της, κατάφερε να ξεφύγει από τη φτώχεια, να παντρευτεί τον πρόεδρο της Αργεντινής και να γίνει η πιο λατρεμένη, αλλά και η πιο μισητή γυναίκα στη χώρα της.",0,0,0,0,0,0,1,0,0,0,0,1
'Μόνος στο Σπίτι 3',"Ένα μικροτσίπ, το οποίο περιέχει πληροφορίες υψίστης ασφαλείας για την άμυνα του αμερικανικού στρατού, έχει κλαπεί. Όπως είναι φυσικό, οι κυβερνήσεις πάρα πολλών χωρών προσφέρουν μέχρι και 10 εκατομμύρια δολάρια προκειμένου να το αποκτήσουν. Μια τετράδα απατεώνων, με διεθνή δράση και αρχηγό τον Πετρ Μποπρ, ακολουθεί τα ίχνη του μικροτσίπ, το οποίο κρυμμένο σ’ ένα παιδικό αυτοκινητάκι θα διανύσει την απόσταση που χωρίζει το Χονγκ-Κονγκ απ’ το Νορθ Ντέβον Παρκ, ένα ειδυλλιακό προάστιο στο Σικάγο. Βέβαια, το πιο δύσκολο της όλης υπόθεσης δεν είναι οι χιλιομετρικές αποστάσεις, αλλά εκείνος ο χαριτωμένος, πανέξυπνος κι εξαιρετικά εφευρετικός πιτσιρίκος, ο οποίος γνωρίζοντας την ύπαρξη του μικροτσίπ είναι αποφασισμένος να το προφυλάξει πάση θυσία. Γιατί ο μικρός Άλεξ έχει καταστρώσει σχέδιο, έχει το κουράγιο να το πραγματοποιήσει, έχει ανεμοβλογιά κι έχει μείνει… μόνος στο σπίτι.",1,0,0,1,0,0,0,0,0,0,0,0
'Love in the End',"Ένα κορίτσι που φοβάται να αισθανθεί, ερωτεύεται. Ένας άνδρας που λέει ψέματα επειδή δεν τολμάει να εκφράσει αυτά που νιώθει, πρέπει τώρα να πει την αλήθεια. Κι ένα ζευγάρι που κανείς από τους δύο δεν πιστεύει στον έρωτα, δεν μπορούν να ζήσουν μακριά ο ένας από τον άλλον. Τρεις μικρές ιστορίες για τα εμπόδια του έρωτα. Αλλά και για την ομορφιά, τον ίλιγγο, τα μυστικά και τις αποκαλύψεις του. Τρεις ιστορίες για τον έρωτα που νικάει κάθε εμπόδιο. Στο τέλος.",0,0,0,0,0,1,1,0,0,0,0,0
'Νερό για Ελέφαντες',"1931, εποχή του μεγάλου κραχ. Ο Τζέικομπ Γιακόφσκι, σπουδαστής κτηνιατρικής, μένει ορφανός κι αποφασίζει να περιδιαβεί τη χώρα μόνος του. Πηδάει πάνω σε ένα τρένο και μπαίνει σε έναν κόσμο σαλτιμπάγκων, αδέσποτων και παρανόμων. Θα συναντήσει κι ένα τσίρκο που παλεύει να επιβιώσει, και θα γίνει ο κράχτης τους. Εκεί θα γνωρίσει και την όμορφη Μαλένα, που είναι παντρεμένη με τον δύστροπο εκπαιδευτή ζώων. Μαζί όμως και τη Ρόζι, μια ελεφαντίνα που αρνείται να τιθασευτεί.",0,0,0,0,0,1,1,0,0,0,0,1
'Διαστημικός Σταθμός Salyut-7',"Ο Salyut-7, ο μη επανδρωμένος σοβιετικός διαστημικός σταθμός που βρίσκεται σε τροχιά γύρω από τη Γη, σταματά ξαφνικά να εκπέμπει σήματα. Η πτώση του σταθμού θα βλάψει όχι μόνο την εικόνα της χώρας, την υπερηφάνεια της σοβιετικής επιστήμης και της διαστημικής βιομηχανίας, αλλά και θα προκαλέσει τραγωδία με την απώλεια ανθρώπινων ζωών. Για να αποφευχθεί μια τέτοια καταστροφή, οι αστροναύτες θα πρέπει να φτάσουν στον σταθμό και να προσδιορίσουν την αιτία της βλάβης. Ωστόσο, κανείς δεν έχει ποτέ αγκυροβολήσει σε έναν μη επανδρωμένο διαστημικό σταθμό. Μέχρι σήμερα, αυτό παραμένει η πιο τεχνικά περίπλοκη αποστολή στην ιστορία της διαστημικής πλοήγησης.",0,0,0,0,1,0,0,0,1,0,0,1
